id,name,price,description
1,Volkswagen,75429.35,Robust system-worthy knowledge user
2,Subaru,25281.27,Re-contextualized bi-directional budgetary management
3,BMW,12645.69,Monitored didactic software
4,Buick,39485.42,Total 5th generation matrix
5,Mitsubishi,21399.36,Right-sized mobile methodology
6,Isuzu,89086.82,Front-line composite customer loyalty
7,Chrysler,81387.81,Organized object-oriented parallelism
8,Nissan,22343.56,Devolved solution-oriented core
9,Nissan,86771.93,Vision-oriented logistical approach
10,Mercedes-Benz,12334.67,Profit-focused eco-centric portal
11,Oldsmobile,48782.17,Inverse zero defect conglomeration
12,Buick,19802.05,Automated user-facing website
13,Geo,27203.01,Fully-configurable 3rd generation capability
14,Ford,60002.05,Assimilated mission-critical model
15,Honda,64498.57,Exclusive full-range workforce
16,Mercedes-Benz,89033.83,Front-line impactful database
17,Mitsubishi,65237.87,Managed 3rd generation focus group
18,Ford,60253.02,Triple-buffered full-range info-mediaries
19,Mercury,91603.3,Implemented demand-driven pricing structure
20,Ford,15942.35,Multi-channelled homogeneous parallelism
21,Ferrari,72907.32,Multi-tiered solution-oriented database
22,GMC,41342.82,Inverse modular interface
23,Hyundai,19176.19,Upgradable context-sensitive model
24,Saab,65432.32,Pre-emptive bi-directional intranet
25,Scion,93934.86,Seamless coherent data-warehouse
26,Volvo,47038.52,Reduced hybrid artificial intelligence
27,Maybach,90030.87,Advanced 6th generation projection
28,Land Rover,63940.84,Function-based systematic utilisation
29,Saturn,43381.47,Integrated encompassing capacity
30,Kia,64396.68,Up-sized multi-tasking support
31,Plymouth,75919.32,Progressive web-enabled migration
32,Subaru,46271.51,Horizontal encompassing architecture
33,Ford,6825.24,Phased well-modulated budgetary management
34,Lexus,75714.31,Enterprise-wide 4th generation toolset
35,Chrysler,82540.56,Versatile composite emulation
36,Toyota,53174.29,Reverse-engineered bifurcated data-warehouse
37,Volvo,73323.79,Horizontal client-driven parallelism
38,Mercedes-Benz,53179.37,Grass-roots 4th generation alliance
39,Saturn,70038.54,Exclusive modular attitude
40,GMC,47962.06,Cross-group local collaboration
